句子|内容|标签
36|从城里这一带为数众多的小酒馆里冒出来的恶臭，以及尽管这天是工作日却随时可以遇到的醉汉，给这幅画添上了可憎的忧郁色彩。|
37|那个年轻人清秀的面庞上倏地露出极其厌恶的表情。|
38|顺便说一句，他相貌分外好看，眼睛乌黑而美丽，头发深棕色，身材高于一般人，清秀而匀称。|
39|然而，他不久就落进苦思冥想的状态，说得确切点，甚至仿佛已经达到忘记一切的境界，只顾走路，不再留意周围的情形，而且也不愿意去留意了。|
40|只是有的时候，他拗不过刚才他表露过的独白习惯，低声自言自语。|
41|在这种时候，他自己也总感到思绪纷乱，身体很虚弱。|
42|他已经有两天几乎什么东西也没吃了。|
43|他的衣着很差，就连那些习惯于穿得很差的人，也不好意思在白天穿着这样的破衣烂衫上街。|
44|不过这个地段倒有所不同，不管穿什么样的衣服也很难令人震惊。|
45|这儿靠近干草市场，布满了某类不名誉的场所，而且在彼得堡中心的大街小巷里人烟稠密，居民大多属于各行会，靠手艺谋生，有些奇形怪状的人不时在街头巷尾出现，因此遇到这种人就吃惊未免奇怪了。|
46|可是那个年轻人心里，这时候满是凶狠的轻蔑，所以尽管他年纪轻轻，很怕丢脸，却对穿着破衣烂衫上街毫不介意。|
47|如果遇见熟人或者以前的同学，事情就不同了，总之，他是不喜欢遇见他们的……|
48|可是这当儿有个醉汉不知什么缘故坐着一辆大板车，由一匹运货的大马拉着，路过这条街，不知要到哪儿去，那醉汉突然在车上高叫一声：“喂！”|
49|“你这个日耳曼佬，做帽子的工人！”|
50|他扯开嗓门大喊一声，伸出一只手指着他，年轻人就一下子停住脚，慌忙抓住自己的帽子。|
51|他的帽子又高又圆，原是在齐美尔曼帽店买的，不过如今已经完全陈旧，通体退了色，满是窟窿和污斑，帽边也掉了，极不像样地歪戴在头上。|
52|然而他心头涌起的却不是羞臊，而是截然不同的另一种感情，甚至近似恐惧。|
53|“我早就知道！”|
54|他慌张地嘟哝说，“我早就料到了！”|
55|“这糟透了！”|
56|“只要冷不防发生一件这样的蠢事，一件极琐碎的小事，就能破坏整个计划！”|
57|“是啊，这顶帽子太显眼……”|
58|“它的样子惹人发笑，所以就显眼……”|
59|“穿着这样的破衣服，就一定得戴制帽，哪怕是一顶旧的扁帽子也成，这顶难看的帽子却戴不得。”|
60|“谁也不会戴这种帽子，隔着一俄里远就会引人注意，让人记住……”|
61|“要紧的是人家事后会想起来，这就成了罪证。”|
62|“干这种事得尽量少显眼才行……”|
63|“别看是小事，这最关紧要！”|
64|“……”|
65|“正是这类小事才往往坏了大事……”|
66|他用不着走多么远。|
67|他甚至知道从他家里出来，要走多少步：整整七百三十步。|
68|有一天，他满脑子都是幻想，顺便把步子数清了。|
69|当时他自己还不相信自己的幻想，只是心里感到兴奋，因为那些幻想虽然不成体统，却泼辣得迷人。|
70|的幻想，不知怎的，使他甚至已不由自主地常认为是一种切实可行的事，只是他自己还不相信自己真会去做罢了。|
71|，他每走一步路，他的激动就增长一分。|
72|他带着好像停止跳动的心、神经质的战栗，走到一座大厦跟前。|
73|那座大厦有一边临着一条人工河，另一边临着一条大街。|
74|这所房子分成许多小住所，住满各式各样的手艺人，裁缝啦、小炉匠啦、厨娘啦、形形色色的日耳曼人啦、靠自己活着的姑娘啦、小官啦，等等。|
75|两个大门口和两个院子里经常有人进进出出。|
76|那儿有三四个管院子的人当差。|
77|这年轻人却一个也没碰见，不由得暗自高兴，马上神不知鬼不觉地溜进大门，登上右边的楼梯。|
78|那是后门的楼梯，又暗又窄，不过这些他早就知道，摸熟了。|
79|他很喜欢这种环境，因为在这种幽暗的地方，哪怕碰上一对爱好刺探的眼睛也不会有危险。|
80|“如果我现在就这么害怕，那么真要是到了动手干起那件事时，那会怎样呢？”|
81|“……”|
82|他走上四楼，不禁这样想道。|
83|在这儿，有几个退伍兵改当搬运夫，正从一个住所搬出家具来，挡住他的去路。|
84|他早先已经知道这套房里住着一个有家眷的日耳曼人，是做文官的。|
85|“这样看来，那个日耳曼人现在搬走了，那么这四楼、这道楼梯、这个楼面，暂时就只有老太婆一家居住了。”|
86|“这挺好……”|
87|“万无一失了……”|
88|他又暗想，拉了拉老太婆家的门铃。|
89|门铃轻轻地响起，仿佛是白铁做的，而不是铜做的。|
90|这类房屋几乎都装着这样的门铃。|
91|他已经忘了这种铃声是什么样子，如今这种特别的铃声似乎使他蓦地想起一件事，它清楚地出现在他的眼前……|
92|他不禁打了个冷战，这一回他的神经紧张得十分衰弱。|
93|没过多久的工夫，房门拉开一条小缝，女房主隔着小缝打量来客，露出明显的不信任神情，他光看见她那对小眼睛在黑地里闪闪发光。|
94|不过她瞧见楼梯平台上有很多人，才放大胆子，把门敞开。|
95|年轻人就迈过门槛走进前室，那儿有一道隔板，后边是间小厨房。|
96|老太婆站在他面前，没开口说话，瞧着他，现出疑问的神态。|
97|她是个干瘪的小老太婆，年纪六十上下，有一对敏锐而凶狠的小眼睛，鼻子又尖又小，没戴头巾。|
98|她头发浅黄，略带花白，搽了很多油。|
99|她脖子细长，类似鸡腿，缠着一条旧的法兰绒围巾。|
100|尽管天热，她两个肩膀上却披一件破旧而发黄的毛皮上衣。|
101|老太婆不住咳嗽喘息。|
102|大概因为年轻人瞧着她的目光有点特别，所以她的眼睛忽然又闪出原先那种不信任的神情。|
103|“我姓拉斯柯尔尼科夫，是大学生，一个月前到您这儿来过。”|
104|年轻人赶紧嘟哝着说，想起他应当客气点，就略微点一下头。|
105|“我记得，先生，您来过，我记得很清楚。”|
106|老太婆口齿清楚地说，她那对疑问的眼睛仍然盯紧他的脸。|
107|“那么……”|
108|“我又来了，还是办那样的事……”|
109|拉斯柯尔尼科夫接着说，有点发窘，看到老太婆的不信任神情而暗暗吃惊。|
110|“也许她素来就是这样，可是那一次我没看出来。”|
111|他暗想，心里很不愉快。|
112|老太婆没说什么，仿佛在沉思，然后闪到一旁，指着通到正房的门，让客人先进一步，说：|
113|“请进，先生。”|
114|年轻人走进一个不大的房间，那儿糊着黄色壁纸，放着天竺葵，窗上挂着薄纱窗帘。|
115|这时候夕阳把房间照得通亮。|
116|“那么，到那时候太阳也会照得这么亮吧！”|
117|拉斯柯尔尼科夫的头脑里仿佛偶然闪过这样的想法，然后他赶快环顾一下房间里的东西，好尽量看清和记住这儿的布置。|
118|可是房间里什么特别的东西也没有。|
119|家具都很旧，是用黄木做的，有一张长沙发，弓形的木靠背很大，长沙发前边放一张椭圆形的桌子，另外，在两个窗口之间有个带镜子的梳妆台，沿墙摆着几把椅子，墙上挂着的两三张不值钱的画片上画着些日耳曼小姐，手里捧着鸟，它们镶在黄色镜框里。|
120|全堂家具就只有这些。|
121|墙角有帧不大的圣像，前面点着长明灯。|
122|样样东西都很干净，无论是家具还是地板都擦得亮晃晃的，到处闪闪发光。|
123|“这都是丽扎维达收拾的。”|
124|年轻人暗想。|
125|整个住所里找不出一丁点儿灰尘。|
126|“只有这恶毒的老寡妇家里才收拾得这么干净。”|
127|拉斯柯尔尼科夫继续暗自想道，然后斜起眼睛，带着好奇的神情瞧一块印花布门帘，那儿通到另一个小房间，里面放着老太婆的床和五层式屉柜，他一次也没走进去看过。|
128|整个住所只有这两个房间。|
129|“您有什么事？”|
130|老太婆走进房间，厉声问道，仍然在他面前站住，好直着眼睛瞧他。|
131|“我拿来一样东西要当，喏，就是这个！”|
132|他说着，从衣袋里取出一块扁平的旧怀表。|
133|怀表的反面刻着个地球，表链是钢质的。|
134|“不过您上次的抵押品已经到期了。”|
135|“前天就已经满一个月了。”|
136|“我会给您送一个月的利息来。”|
137|“请您略为等一下。”|
138|“不过，先生，究竟是等，还是现在就把您的东西卖出去，这得由我做主。”|
139|“这块怀表能押很多钱吧，阿辽娜·伊凡诺芙娜？”|
140|“您总带些不值钱的东西来，先生，这东西恐怕一个钱也不值。”|
141|“上回您拿戒指来，我给了您两张钞票[2]，其实到首饰商店去买只新的，花一个半卢布就成了。”|
142|“您给四个卢布吧，我以后会来赎，这是我父亲的。”|
143|“我不久就会拿到钱。”|
144|“我给一个半卢布，而且不瞒您说，还得先收利息，先生。”|
145|“一个半卢布！”|
146|年轻人大叫一声。|
147|“那就随您的便。”|
148|说完，老太婆把怀表退还给他。|
149|年轻人接过来，气得不得了，一心想索性走掉了事，可是他马上又改变主意，因为他想起没别处可去，而且他到这儿来另有目的。|
150|“就这样吧！”|
151|他粗鲁地说。|
152|老太婆伸手到衣袋里摸出钥匙，掀开门帘，走进另一个房间。|
153|年轻人独自站在房间中央，注意地听着，暗自思忖。|
154|他听她打开五层式屉柜。|
155|他暗想，“那么，她的钥匙总是放在右边衣袋里……”|
156|“所有的钥匙都放在一起，穿在一个小钢圈上……”|
157|“其中有把钥匙最大，比别的大两倍，有高高低低的锯齿，一定不是用来开五层式屉柜的……”|
158|“可见另外还有个首饰箱或者小箱子……”|
159|“这才该弄清楚。”|
160|“小箱子的钥匙都是这样的……”|
161|“不过，这种事多么卑鄙啊……”|
162|老太婆走回来。|
163|“那就这么办，先生：既然一个卢布每月的利息是十戈比，那么这一个半卢布，您先交一个月利息，就得付十五戈比。”|
164|“还有，您先前的两卢布，也照这个算法，得先付二十戈比。”|
165|“那么一共是三十五戈比。”|
166|“现在，您把怀表抵押给我，总共该得一卢布十五戈比。”|
167|“喏，您收下吧，先生。”|
168|“怎么！”|
169|“这样说来，现在就只剩下一卢布十五戈比了！”|
170|“对，先生。”|
171|年轻人不想争吵，把钱收下。|
172|他瞧着老太婆，不急于走掉，仿佛另外还打算说什么话，或者做什么事，可是自己也不知道该说什么或者做什么似的。|
173|“也许，过几天，我还会给您，阿辽娜·伊凡诺芙娜，拿一样东西来……”|
174|“是银的……”|
175|“挺好的……”|
176|“一个烟盒……”|
177|“喏，等我从朋友那儿拿回来……”|
178|他发窘了，停住嘴。|
179|“好，到那时候再说吧，先生。”|
180|“再见……”|
181|“怎么您老是一个人在家，您妹妹却不在？”|
182|他一边走进前室，一边问道，口气尽量随随便便。|
183|“可是她跟您有什么相干，先生？”|
184|“哦，我没有什么特别的意思。”|
185|“我是随便问问的。”|
186|“可是您马上就……”|
187|“再见吧，阿辽娜·伊凡诺芙娜！”|
188|拉斯柯尔尼科夫慌里慌张地走出去。|
189|这种慌张越来越增长。|
190|他顺着楼梯走下去，甚至有好几次停住脚，仿佛突然想起什么，吃了一惊似的。|
191|最后他走到街上，不由得喊叫道：|
192|“啊，上帝！”|
193|“这种事多么可憎！”|
194|“难道，难道我能……”|
195|“不，这是瞎想，这是荒唐！”|
196|他坚决地补充说。|
197|“难道我脑子里能想出这种骇人听闻的事来？”|
198|“不过，我的心居然受得了这种肮脏的事啊！”|
199|“主要的就是肮脏、下流、卑贱、卑劣！”|
200|“……”|
201|“我这整整一个月……”|
202|可是，他说话也罢，喊叫也罢，都不足以表达他的激动。|
203|这种无限憎恶的心情，在他来找老太婆的时候，本来就已经压紧和折磨他的心，如今更是变本加厉，十分露骨，弄得他不知道该怎么样才能摆脱他的苦恼了。|
204|他在人行道上走着，像个醉汉，看不见过路的行人，常常撞在他们身上，一直走到第二条街上才清醒过来。|
205|他往四下里看一眼，发现旁边有家酒店，是个地下室，要从人行道上走下几层台阶，就可以走进门去。|
206|这时候正巧有两个醉汉走出店门，互相搀扶着，骂骂咧咧地来到街上。|
207|拉斯柯尔尼科夫没有多想，立刻顺着台阶走下去。|
208|这以前他从没进过酒店，可是现在他头昏脑涨，而且渴得要命。|
209|他有心喝点凉啤酒，特别是因为他把突如其来的衰弱归因于肚子饿。|
210|他在阴暗肮脏的墙角边一张摸着黏糊糊的小桌旁边坐下，叫了啤酒，一口气喝下一大杯。|
211|立刻，他感到神清气爽，他的思路也清楚了。|
212|他怀着希望说，“这没有什么可惊慌的！”|
213|“无非是自己出了点毛病罢了！”|
214|“喝上一杯啤酒，吃掉一块面包，马上就头脑健全、思路清楚、意志坚定了！”|
215|“呸，这一切是多么无聊啊！”|
216|“……”|
217|可是，尽管他鄙夷地啐了一口，却显出快活的样子，似乎一下子摆脱了千斤重担，然后他友好地看一眼在座的人。|
218|不过就连在这时候，他也隐约地预感到他这种心情舒畅的转机也是病态的。|
219|这当儿酒店里顾客稀少了。|
220|除了方才在台阶上碰到的两个醉汉以外，紧跟着又有一大群人走出去，约莫有五个男人，带着一个姑娘，还拿着一部手风琴。|
221|他们走后，这儿变得安静而宽敞了。|
222|剩下的人中间有一个带醉意的人，可是醉得不厉害，坐在那儿喝啤酒，论模样，是个小市民。|
223|他的伙伴又胖又高大，留着花白的胡子，穿一件带褶的短上衣。|
224|他喝得酩酊大醉，躺在长凳上睡着了，可是有的时候，仿佛半睡半醒，突然把手指弹得啪啪响，摊开两条胳膊，上半截身子耸上耸下，却没从长凳上坐起来，同时哼着一支莫名其妙的歌，极力地回想歌词，例如：我疼爱妻子整整一年，我疼爱妻子整整一年……|
225|或者，蓦地醒过来，又唱道：我顺着大街散步，碰见了我旧日的情妇……|
226|可是谁也没有跟他一起高兴。|
227|他那沉默的伙伴瞧着这种纵情歌唱，甚至露出反感和不信任的神情。|
228|另外，这儿还有一个人，从外貌看，有点像退休的文官。|
229|他独自坐着，面前放一小瓶酒，偶尔喝一口，往四下里瞧一眼。|
230|他似乎也有点激动不安。|
